time_s,lap,motor_rpm,motor_torque_nm,power_kw,motor_temp_c,inverter_temp_c,battery_voltage_v,battery_current_a
0.0,1,3978.3268299265833,135.46936355287372,56.43781181464715,62.62825492344167,50.28833316413025,594.7863994977813,104.27201004437279
0.1,1,3895.7305684211715,135.0313546241759,55.08738483447386,63.12464232810324,51.25343172905511,594.9122252696393,101.75549460721527
0.2,1,4111.055621032181,142.96175482133032,61.546284638643556,61.61580496649976,49.02657726174406,594.309931889608,113.80136220783925
0.3,1,4174.390678631765,142.66598990530784,62.365177695070216,61.49174952135033,49.171205460174534,594.2334819236014,115.33036152797308
0.4,1,3944.9608898403926,119.01945281428917,49.16876151850255,63.42813560745158,49.52883892404624,595.4630597837665,90.73880432467035
0.5,1,4051.8298647807806,145.2334362950799,61.62351009579461,62.35234310043676,50.04972329480562,594.3027231472373,113.94553705525368
0.6,1,4232.822747856397,135.8833284022291,60.23166610909637,61.57093853723826,49.876079153896896,594.432620129298,111.34759741403968
0.7,1,4235.647324276565,134.44017884126703,59.6317413209385,64.52460053641504,50.40367346226274,594.4885917937258,110.22816412548195
0.8,1,4308.936762617151,144.5504578086114,65.22561909424215,62.66023560914907,48.694230868766375,593.9662816974792,120.67436605041735
0.9,1,4274.125291505611,150.21620544432898,67.23457347189198,64.850315491231,50.236068686707355,593.7784754987669,124.43049002466296
1.0,1,4483.087548289939,137.31529981988777,64.4651158647746,63.55680726566958,49.11654068232942,594.037345700798,119.25308598403944
1.1,1,4517.524140345122,155.18417015057827,73.41359948104996,63.9283963869307,49.73470456146074,593.2000780061278,135.99843987744293
1.2,1,4493.665761423918,157.03712625908284,73.89783647659976,63.372866472505294,51.60507371301819,593.1547020166529,136.90595966694218
1.3,1,4637.871096312406,153.45340753514705,74.52874848578386,60.492383168716685,48.517576034590824,593.0955711358711,138.08857728257976
1.4,1,4618.180733351755,148.4705123026561,71.80253050545552,62.36627135354761,49.65484521075233,593.3509945716628,132.98010856674296
1.5,1,4534.675850231049,149.09531076242698,70.80091177843536,63.631320973538685,48.67789379289846,593.4447818792726,131.1043624145475
1.6,1,4693.402594486253,164.52663757020358,80.8635212781541,64.27151869833176,50.12356547717731,592.5011955194734,149.97608961053174
1.7,1,4608.826614648939,148.14709780020536,71.50100335771006,61.73781487473217,51.03641743754086,593.3792314426569,132.4153711468614
1.8,1,4824.375238548688,167.54320387432924,84.64406534242596,63.872584523496066,50.175253803048285,592.1459005000543,157.0819899989158
1.9,1,4776.6016505147245,160.28681391326245,80.17619444926348,62.641569797238795,49.90602222579027,592.565744048581,148.6851190283801
2.0,1,4803.593490976395,162.10805233849663,81.54539740962204,64.32110265219637,51.36800315644084,592.4371448000612,151.25710399877562
2.1,1,4795.636261812696,152.14171164893295,76.40524124307768,64.06743526414293,50.38668751457437,592.9196303114711,141.6073937705778
2.2,1,5014.964446210423,164.37385735768476,86.3235363100733,65.03395627346877,50.892055074027894,591.9879253571826,160.24149285634962
2.3,1,4921.942710456675,170.98102100691756,88.12783040460612,65.47285480411793,50.803768240064954,591.8181137562067,163.63772487586516
2.4,1,4933.006986930147,158.59799892332123,81.92907506807684,64.79423731495311,47.22800842518188,592.401098610773,151.97802778454047
2.5,1,4976.570655537244,172.69157892248947,89.99739786360627,65.3265675322773,50.043032414605165,591.6420546311389,167.15890737722248
2.6,1,5096.144411848586,171.05321085075448,91.28545299642457,63.924188131967725,49.056791862472075,591.5206952678097,169.58609464380402
2.7,1,5115.048254031662,167.13301523057768,89.52423145418759,67.78269642371671,49.32042560553841,591.6866232514543,166.26753497091386
2.8,1,5153.480369338553,178.81083719054112,96.49905948929872,62.982576068928495,51.638914201237434,591.0289571060143,179.42085787971223
2.9,1,5188.303012196822,158.58026676024286,86.15948497769709,63.861897027789254,49.80381596920667,592.00336019276,159.93279614479775
3.0,1,5383.08274930116,177.56937830245332,100.09854114219507,65.62671527117101,52.085189389918,590.6889749492098,186.22050101580612
3.1,1,5172.398978826228,187.60332870052693,101.61578469214594,65.49806211232354,48.798637177166846,590.5455474220955,189.08905155808952
3.2,1,5192.844099923936,187.44920277706555,101.93363227957222,65.22920005666374,49.13606244138678,590.5154917963066,189.6901640738679
3.3,1,5193.801312573383,181.17776099833168,98.5414249579116,65.50407199081818,50.995193257446196,590.8360981572328,183.2780368553449
3.4,1,5358.323014648432,177.39362146152305,99.53951225800948,62.242591651081824,49.90428076457874,590.7418030311082,185.1639393778362
3.5,1,5434.83580495928,176.08738551586364,100.21743685865424,66.6989981811719,50.56548821706767,590.6777380972761,186.4452380544776
3.6,1,5343.612321385382,179.42608602166595,100.40356747300129,64.59595361278345,50.158060186804036,590.6601459927322,186.7970801453555
3.7,1,5300.545667117735,186.337349811917,103.4306164148345,66.38427695281736,50.139693105952766,590.3738953454425,192.5220930911496
3.8,1,5327.022900007862,177.83933685812303,99.2067019263565,62.497346037498964,49.989630498744795,590.773248961693,184.53502076614086
3.9,1,5491.205153689105,189.72622935454606,109.09972678009954,65.29362165735134,50.484650772489566,589.837039588761,203.25920822478224
4.0,1,5523.119297937895,200.26516335112925,115.82930517492173,64.35748048040519,50.9577789270932,589.1984655265592,216.03068946881763
4.1,1,5526.282845433092,185.78289610386327,107.51460304114384,65.76794814319956,51.94123719646509,589.9872483894915,200.25503221017175
4.2,1,5432.69684855484,177.66234097773003,101.07400385917173,65.50938100078798,50.13466692395207,590.5967709807546,188.0645803849086
4.3,1,5538.280709407319,178.49065009432746,103.51875820116291,65.61541285386065,49.95359444876147,590.3655560544212,192.68887891157533
4.4,1,5546.689331372188,194.14408113350254,112.76819124100159,63.95244587004685,49.834512241884845,589.4891112567253,210.21777486549354
4.5,1,5574.839372035083,189.06744706810667,110.37678413762842,65.2015895537154,51.83618540795096,589.7159669933633,205.6806601327355
4.6,1,5654.399371633401,196.37413423747822,116.2784893414969,65.1002797180841,51.06583987137507,589.1557919430345,216.88416113930998
4.7,1,5609.50533933216,187.22445771960068,109.9805190703655,65.9571258743942,48.48527963654483,589.7535406803395,204.92918639321147
4.8,1,5668.523238842043,197.47062777299033,117.21982163775306,66.59592476502874,48.449674151477765,589.0663426610994,218.67314677801232
4.9,1,5625.335395626913,191.21719624907195,112.64294209316101,65.63508987448604,49.57090153851261,589.5009971615273,209.98005676945468
5.0,1,5660.412119655172,187.8393497200922,111.34308398345311,63.96859325393368,50.63895130291058,589.6243224122886,207.5135517542276
5.1,1,5706.106724113268,190.7739566409082,113.9954704544154,65.67430165023198,50.38286317714134,589.3726189749036,212.54762050192767
5.2,1,5520.069459458473,185.78805581407988,107.39670337470167,68.72342652095676,50.93831951689531,589.9984176373368,200.03164725326315
5.3,1,5639.691381176844,208.65183018968708,123.2270793822295,67.60998536986874,50.25498457234782,588.4948549846682,230.10290030663555
5.4,1,5636.152595828395,194.58289051015097,114.84603642076334,62.109854499585744,51.834412480934795,589.2918564678919,214.16287064216135
5.5,1,5630.161772602074,200.2727929696416,118.07866820059249,65.79920695950895,51.21534870889745,588.984707359887,220.30585280225978
5.6,1,5673.996801702233,192.47915297553993,114.36717758188841,66.88550117652314,50.5267347986662,589.3373276019745,213.25344796051127
5.7,1,5850.722783085994,189.3222481526101,115.9951396097461,65.59162447417907,51.600095075081995,589.1827115869536,216.34576826092825
5.8,1,5634.331471333516,195.46962253396703,115.33212274541212,65.3014587342495,48.81112285097655,589.2456917204188,215.08616559162533
5.9,1,5815.795257513489,205.20880960859492,124.97804534965661,65.5760488036132,50.37990319282582,588.3280673665635,233.4386526687308
6.0,1,5570.529290729467,194.2217644662364,113.29819093666006,66.60155364398395,50.60711389857872,589.4388098956495,211.22380208701202
